AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
AEG, WIME, Aek Godang Airport, Padang Sidempuan-Sumatra Island--SU--ID, null, Asia/Jakarta
AEH, FTTC, Abeche Airport, --OD--TD, null, Africa/Ndjamena
AEK, AEK, Aseki Airport, Aseki--MPL--PG, null, Pacific/Port_Moresby
AEL, KAEL, Albert Lea Municipal Airport, Albert Lea--MN--US, null, America/Chicago
AEM, UHTG, Amgu Airport, Amgu--PRI--RU, null, Asia/Vladivostok
AEO, GQNA, Aioun el Atrouss Airport, Aioun El Atrouss--02--MR, null, Africa/Nouakchott
AEP, SABE, Jorge Newbery Airpark, Buenos Aires--C--AR, null, America/Argentina/Buenos_Aires
AEQ, AEQ, Ar Horqin Airport, Chifeng--15--CN, null, Asia/Shanghai
AER, URSS, Sochi International Airport, Sochi--KDA--RU, null, Europe/Moscow
AES, ENAL, Ålesund Airport, Ålesund--15--NO, null, Europe/Oslo
AET, PFAL, Allakaket Airport, Allakaket--AK--US, null, America/Anchorage
AEU, OIBA, Abu Musa Island Airport, Abu Musa--23--IR, null, Asia/Tehran
AEX, KAEX, Alexandria International Airport, Alexandria--LA--US, null, America/Chicago
AEY, BIAR, Akureyri Airport, Akureyri--6--IS, null, Atlantic/Reykjavik
AFA, SAMR, Suboficial Ay Santiago Germano Airport, San Rafael--M--AR, null, America/Argentina/Mendoza
AFD, FAPA, Port Alfred Airport, Port Alfred--EC--ZA, null, Africa/Johannesburg
AFF, KAFF, USAF Academy Airfield, Colorado Springs--CO--US, null, America/Denver
AFI, SKAM, Amalfi Airport, Amalfi--ANT--CO, null, America/Bogota
AFK, AFK, Kondavattavana Tank Seaplane Base, Ampara--5--LK, null, Asia/Colombo
AFL, SBAT, Piloto Osvaldo Marques Dias Airport, Alta Floresta--MT--BR, null, America/Cuiaba
AFN, KAFN, Jaffrey Airport Silver Ranch Airport, Jaffrey--NH--US, null, America/New_York
AFO, KAFO, Afton Municipal Airport, Afton--WY--US, null, America/Denver
AFR, AFR, Afore Airstrip, --NPP--PG, null, Pacific/Port_Moresby
AFS, UTSN, Sugraly Airport, Zarafshan--NW--UZ, null, Asia/Samarkand
AFT, AGAF, Afutara Aerodrome, Bila--ML--SB, null, Pacific/Guadalcanal
AFW, KAFW, Fort Worth Alliance Airport, Fort Worth--TX--US, null, America/Chicago
AFY, LTAH, Afyon Airport, Afyonkarahisar--03--TR, null, Europe/Istanbul
AFZ, OIMS, Sabzevar National Airport, Sabzevar--30--IR, null, Asia/Tehran
AGA, GMAD, Al Massira Airport, Agadir--AGD--MA, null, Africa/Casablanca
AGB, EDMA, Augsburg Airport, Augsburg--BY--DE, null, Europe/Berlin
AGC, KAGC, Allegheny County Airport, Pittsburgh--PA--US, null, America/New_York
AGD, ID-AGD, Anggi Airport, Anggi-Papua Island--PB--ID, null, Asia/Jayapura
AGE, EDWG, Wangerooge Airport, Wangerooge--NI--DE, null, Europe/Berlin
AGF, LFBA, Agen-La Garenne Airport, Agen/La Garenne--NAQ--FR, null, Europe/Paris
AGG, AGG, Angoram Airport, Angoram--ESW--PG, null, Pacific/Port_Moresby
AGH, ESTA, Ängelholm-Helsingborg Airport, Ängelholm--M--SE, null, Europe/Stockholm
AGI, SMWA, Wageningen Airstrip, Wageningen--NI--SR, null, America/Paramaribo
AGJ, RORA, Aguni Airport, Aguni--47--JP, null, Asia/Tokyo
AGK, AGK, Kagua Airport, Kagua--SHM--PG, null, Pacific/Port_Moresby
AGL, AGL, Wanigela Airport, --NPP--PG, null, Pacific/Port_Moresby
AGN, PAGN, Angoon Seaplane Base, Angoon--AK--US, null, America/Juneau
AGO, KAGO, Ralph C Weiser Field, Magnolia--AR--US, null, America/Chicago
AGP, LEMG, Málaga Airport, Málaga--AN--ES, null, Europe/Madrid
AGQ, LGAG, Agrinion Air Base, Agrinion--01--GR, null, Europe/Athens
AGR, VIAG, Agra Airport, --UP--IN, null, Asia/Kolkata
AGS, KAGS, Augusta Regional At Bush Field, Augusta--GA--US, null, America/New_York
AGT, SGES, Guarani International Airport, Ciudad del Este--10--PY, null, America/Asuncion
AGU, MMAS, Jesús Terán Paredo International Airport, Aguascalientes--AGU--MX, null, America/Mexico_City
AGV, SVAC, Oswaldo Guevara Mujica Airport, Acarigua--P--VE, null, America/Caracas
AGW, AU-AGW, Agnew Airport, Agnew--QLD--AU, null, Australia/Brisbane
AGX, VOAT, Agatti Airport, --LD--IN, null, Asia/Kolkata
AGZ, FAAG, Aggeneys Airport, Aggeneys--NC--ZA, null, Africa/Johannesburg
AHB, OEAB, Abha Regional Airport, Abha--14--SA, null, Asia/Riyadh
AHC, KAHC, Amedee Army Air Field, Herlong--CA--US, null, America/Los_Angeles
AHD, K1F0, Ardmore Downtown Executive Airport, Ardmore--OK--US, null, America/Chicago
AHE, NTHE, Ahe Airport, Ahe Atoll--U--PF, null, Pacific/Tahiti
AHF, K37V, Arapahoe Municipal Airport, Arapahoe--NE--US, null, America/Chicago
AHH, KAHH, Amery Municipal Airport, Amery--WI--US, null, America/Chicago
AHI, WAPA, Amahai Airport, Amahai-Seram Island--MA--ID, null, Asia/Jayapura
AHJ, AHJ, Hongyuan Airport, Aba--51--CN, null, Asia/Shanghai
AHL, SYAH, Aishalton Airport, Aishalton--UT--GY, null, America/Guyana
AHM, KS03, Ashland Municipal Sumner Parker Field, Ashland--OR--US, null, America/Los_Angeles
